model_id,sae_release,model_depth,layer_depth_fraction,layer_stage,layer,feature_id,activation_count,activation_frequency,mean_all_activation,mean_magnitude,mean_positive_activation,max_activation,top20_mean_activation,top100_mean_activation,activation_gini,document_frequency,mean_token_peak,global_dominance_score,policy_specific_score,layer_unique_score,max_cross_layer_decoder_cosine,ranking_family,rank,score,catalog_key,decoder_tensor_key,causal_badge,best_proxy_x,best_proxy_test_auc,best_proxy_validated_auc,best_proxy_contrast,generated_name,generated_rationale,template_summary,semantic_tag,best_proxy_y,faithfulness_score,boundary_text
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,12440,2891,1.0,1469.5713,1469.5713,1469.5712556208923,1475.0079,1475.0079345703125,1475.0087890625,0.0011024765339729347,331,1469.5856907414714,1469.5712556208923,0.0,0.0,0.9570736885070801,global_dominance,1,1469.5712556208923,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_12440|global_dominance,layer_20_feature_12440,,interpretability,0.640958904109589,0.42372881355932207,0.13559013500548245,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,12237,2891,1.0,493.29935,493.29935,493.29933414043586,493.409,493.4090881347656,493.4091796875,4.919782725149195e-05,331,493.31286382526724,493.29933414043586,0.0,0.0,0.367754191160202,global_dominance,2,493.29933414043586,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_12237|global_dominance,layer_20_feature_12237,,interpretability,0.6713698630136986,0.4299435028248588,0.0022829290021929823,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,7839,2891,1.0,437.5621,437.5621,437.56208924247665,478.13367,477.578125,474.88629150390625,0.01880794414478879,331,437.5628537758953,437.56208924247665,0.0,0.0,0.7994151711463928,global_dominance,3,437.56208924247665,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_7839|global_dominance,layer_20_feature_7839,,discrimination,0.6158285714285715,0.5093942054433713,1.0810226812595274,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,12668,2891,1.0,304.7187,304.7187,304.71869595295743,304.92676,304.9267578125,304.92633056640625,0.00019774994366529295,331,304.7211770816725,304.71869595295743,0.0,0.0,0.3290722072124481,global_dominance,4,304.71869595295743,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_12668|global_dominance,layer_20_feature_12668,,interpretability,0.640958904109589,0.42372881355932207,0.004811604817708333,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,1390,2891,1.0,201.38658,201.38658,201.38658768592182,201.46387,201.4638671875,201.46401977539062,0.00026915614100921163,331,201.38688075389882,201.38658768592182,0.0,0.0,0.27476486563682556,global_dominance,5,201.38658768592182,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_1390|global_dominance,layer_20_feature_1390,,bias,0.5659025787965616,0.493758573388203,0.0037307359685945273,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,6550,2891,1.0,186.6226,186.6226,186.62260031131098,186.639,186.63897705078125,186.63885498046875,4.21867689451055e-05,331,186.6278503111843,186.62260031131098,0.0,0.0,0.20830383896827698,global_dominance,6,186.62260031131098,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_6550|global_dominance,layer_20_feature_6550,,bias,0.5659025787965616,0.493758573388203,0.0005317801859841418,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,3967,2891,1.0,152.21062,152.21062,152.2106213248011,152.21465,152.21463012695312,152.21478271484375,2.124676183447974e-05,331,152.21009834577202,152.2106213248011,0.0,0.0,0.15730920433998108,global_dominance,7,152.2106213248011,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_3967|global_dominance,layer_20_feature_3967,,bias,0.5455146572625083,0.5142661179698217,0.0002502137748756219,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,729,2891,1.0,139.95683,139.95683,139.95682722241438,139.98941,139.98941040039062,139.98931884765625,0.0001763540818027135,331,139.95439695281084,139.95682722241438,0.0,0.0,0.25806742906570435,global_dominance,8,139.95682722241438,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_729|global_dominance,layer_20_feature_729,,bias,0.5659025787965616,0.493758573388203,0.0016819588580534825,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,3058,2891,1.0,135.65848,135.65848,135.6584767381529,135.6683,135.66830444335938,135.66819763183594,1.7154630937712536e-05,331,135.6603324254134,135.6584767381529,0.0,0.0,0.22445929050445557,global_dominance,9,135.6584767381529,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_3058|global_dominance,layer_20_feature_3058,,discrimination,0.5630285714285714,0.33287971905179986,-0.0010291308891482468,,,,,,,
google/gemma-2-9b,gemma-scope-9b-pt-res-canonical,42,0.4878048780487805,mid,20,6844,2891,1.0,130.9873,130.9873,130.98729894500173,131.08832,131.08834838867188,131.08819580078125,0.00021661977748348453,331,130.98885590623547,130.98729894500173,0.0,0.0,0.17966613173484802,global_dominance,10,130.98729894500173,google/gemma-2-9b|gemma-scope-9b-pt-res-canonical|layer_20|feature_6844|global_dominance,layer_20_feature_6844,,interpretability,0.640958904109589,0.42372881355932207,0.002108657569216009,,,,,,,
